Kit NSN,Kit Name,Item NSN,Description,Quantity,Unit of Measure,Source,Unit Price,Extended Price,Accountability Code,Is Sub-Kit
6545-21-111-8439,FIRST AID KIT GENERAL PURPOSE NO.1 FOR 1 TO 9 PERSONS,6510-00-786-3736,PAD ISOPROPYL ALCOHOL,0.05,BX,WHSE,2.07,0.1,C,
6545-21-111-8439,FIRST AID KIT GENERAL PURPOSE NO.1 FOR 1 TO 9 PERSONS,6510-21-116-0179,BANDAGE TRIANGLE KHAKI,2,PG,WHSE,1.95,3.9,C,
6545-21-111-8439,FIRST AID KIT GENERAL PURPOSE NO.1 FOR 1 TO 9 PERSONS,6510-21-845-2239,BANDAGE 100'S,1,BX,WHSE,2,2,C,
6545-21-111-8439,FIRST AID KIT GENERAL PURPOSE NO.1 FOR 1 TO 9 PERSONS,6510-21-846-1218,TAPE ADH WHITE 2.5CMX9M,1,SL,WHSE,1.53,1.53,C,
6545-21-111-8439,FIRST AID KIT GENERAL PURPOSE NO.1 FOR 1 TO 9 PERSONS,6510-21-851-4200,BANDAGE COMPRESS 4 X 4IN,3,EA,WHSE,0.34,1.02,C,
6545-21-111-8439,FIRST AID KIT GENERAL PURPOSE NO.1 FOR 1 TO 9 PERSONS,6515-00-337-2400,"FORCEPS SPLINTER 4""(10CM)LG",1,EA,WHSE,1.1,1.1,D,
6545-21-111-8439,FIRST AID KIT GENERAL PURPOSE NO.1 FOR 1 TO 9 PERSONS,6515-21-896-0917,BANDAGE SCISSORS 14.6CM,1,EA,WHSE,1.21,1.21,C,
6545-21-111-8439,FIRST AID KIT GENERAL PURPOSE NO.1 FOR 1 TO 9 PERSONS,6515-CF-001-8628,DEPRESSOR TONGUE IND WRP,4,EA,WHSE,0.04,0.16,C,
6545-21-111-8439,FIRST AID KIT GENERAL PURPOSE NO.1 FOR 1 TO 9 PERSONS,6515-CF-003-0008,APPLICATOR DISPOSABLE,0.1,BX,WHSE,13.05,1.31,C,
6545-21-111-8439,FIRST AID KIT GENERAL PURPOSE NO.1 FOR 1 TO 9 PERSONS,6515-CF-005-0609,"GLOVE, EXAM NITRILE NON-STERILE CHEMO TESTED LARGE",0.04,BX,WHSE,22.28,0.89,C,
6545-21-111-8439,FIRST AID KIT GENERAL PURPOSE NO.1 FOR 1 TO 9 PERSONS,6515-CF-005-1464,"MASK, CPR FACESHIELD WITH ONE-WAY VALVE",0.04,BG,WHSE,96.65,3.87,C,
6545-21-111-8439,FIRST AID KIT GENERAL PURPOSE NO.1 FOR 1 TO 9 PERSONS,6545-CF-002-8272,CASE EMPTY FAK 26CMX18CM,1,EA,WHSE,5.86,5.86,C,
