Item NSN,Description,Quantity,Unit of Measure,Source,Unit Price,Extended Price,Accountability Code,Is Sub-Kit
6515-01-457-1496,"NEEDLE HYPO 21G X 1-1/2""",100,EA,WHSE,0.19,19,C,
6515-01-649-5343,TOURNIQUET LATEX FREE,100,EA,WHSE,0.29,29,C,
6515-CF-001-7638,"BLOOD KT SAFLOK 21GX3/4""",50,EA,WHSE,1.22,61,C,
6515-CF-002-8686,SET IV INJECTION 23G X 0.75IN WITH TUBING AND LUER ADAPTER,50,SE,WHSE,1.53,76.5,C,
6515-CF-005-1012,"TUBE, BLOOD/URINE COLLECTION, VACUTAINER, NO ADDITIVE, 13X100MM, 6ML, HEMOGARD CLOSURE (100EA/BX)",20,EA,WHSE,0,0,C,
6630-CF-001-9151,TUBE BLOOD RED 10ML,100,EA,WHSE,0.33,33,C,
6630-CF-002-0890,HOLD NEEDLE BD QUICK REL,5,EA,WHSE,2.15,10.75,C,
6640-01-378-0086,TUBE BLOOD LAVENDER 4ML,100,EA,WHSE,0.2,20,C,
6640-01-441-5338,RACK (HALF) TUBES 9/13MM,1,EA,WHSE,24.52,24.52,C,
6640-01-585-6657,"TEST TUBE, BLOOD COLLECTING",100,EA,WHSE,0.24,24,C,
6640-21-879-9888,TUBE BIO AMIES W/O CHARC,1,BX,WHSE,55.91,55.91,C,
