Item NSN,Description,Quantity,Unit of Measure,Source,Unit Price,Extended Price,Accountability Code,Is Sub-Kit
6505-21-857-5596,"BENZOIN TINCTURE COMPOUND, 50ML-100ML BOTTLE",2,BT,WHSE,11.04,22.08,C,
6510-01-503-2117,"GAUZE COMPRESSED 4.5""(11.4CM)",21,EA,WHSE,5.69,119.49,C,
6510-01-532-8930,BANDAGE ABD TRAUMA CINCH,8,EA,WHSE,13.87,110.96,C,
6510-01-540-6484,"BANDAGE HARD CMPRSSN ""H""",5,EA,WHSE,10.5,52.5,C,
6510-01-558-3342,DRSSNG MODULAR 4IN NLTX,100,EA,WHSE,11.76,1176,C,
6510-01-558-3443,DRSSNG MODULAR 6IN(15CM) NLTX,10,EA,WHSE,13.44,134.4,C,
6510-01-562-3325,GAUZE HEMOSTATIC 7.5CM,40,EA,WHSE,56.33,2253.2,C,
6510-20-012-5182,"DRESSING RETAINER, TUBULAR, ELASTIC, LATEX-FREE. SMALL HAND ARM LEG FOOT. 25 YD(22.8M)/ROLL. SZ 2",4,BX,WHSE,9.23,36.92,C,
6510-20-012-5185,"DRESSING RETAINER, TUBULAR, ELASTIC, LATEX-FREE. SMALL HEAD SHOULDER THIGH. 25 YD(22.8M)/ROLL. SZ 5",2,BX,WHSE,18.11,36.22,C,
6510-20-013-4808,"DRESSING, ADHESIVE, NON-STERILE, BREATHABLE",10,BX,WHSE,29.53,295.3,C,
6510-21-116-0140,APPLICATOR TUBULAR NO.0,1,EA,WHSE,36.11,36.11,C,
6510-21-116-0141,APPLICATOR TUBULAR NO.1,1,EA,WHSE,39.24,39.24,C,
6510-21-116-0142,APPLICATOR TUBULAR NO.2,1,EA,WHSE,43.16,43.16,C,
6510-21-116-0149,BANDAGE TENSOR 6IN X5YDS,12,EA,WHSE,1.01,12.12,C,
6510-21-116-0151,BANDAGE CREPE 4IN X 5YDS,36,EA,WHSE,6.65,239.4,C,
6510-21-116-0152,BANDAGE CREPE 6IN X 5YDS,36,EA,WHSE,9.34,336.24,C,
6510-21-116-0177,BANDAGE GZ TUB 1.6CMX20M,2,EA,WHSE,6.24,12.48,C,
6510-21-116-0178,BANDAGE GAUZE TUBULAR 2.5CM W X 20M LG WHITE NONSTERILE W/O APPLICATOR ROLLED FORM IN DISPENSING PACKAGE (SIZE 2),2,EA,WHSE,6.76,13.52,C,
6510-21-116-0179,BANDAGE TRIANGLE KHAKI,800,PG,WHSE,1.95,1560,C,
6510-21-116-0202,PAD NONADHERENT 7.5X10CM,144,EA,WHSE,0.11,15.84,C,
6510-21-116-0204,PAD NONADHERENT 7.5X20CM,24,EA,WHSE,0.2,4.8,C,
6510-21-116-0209,GAUZE ABSORBENT STERILE,1,BT,WHSE,3.62,3.62,C,
6510-21-116-0224,PAD ABDOMINAL (18M) ROLL,3,RO,WHSE,28.06,84.18,C,
6510-21-845-2189,PAD COTTON (EYE) OVAL,48,EA,WHSE,0.16,7.68,C,
6510-21-845-2199,BANDAGE GZ WHITE 2IN WD,48,RO,WHSE,2.26,108.48,C,
6510-21-845-2201,BANDGE GZ WHITE 4IN X5YD,72,EA,WHSE,0.66,47.52,C,
6510-21-845-2239,BANDAGE 100'S,24,BX,WHSE,2,48,C,
6510-21-849-8650,BANDAGE KNUCKLE 3X7CM(L),3,BX,WHSE,17.05,51.15,C,
6510-21-860-8464,SKIN CLOSURE 6 X 75MM,1,BX,WHSE,44.55,44.55,C,
6510-21-890-0883,SPONGE 4-P STER 10X10CM,500,PG,WHSE,0.1,50,C,
6510-21-891-0091,SPONGE 4-P N-ST 10X10CM,24,PG,WHSE,4.83,115.92,C,
6510-21-899-4381,"DRESSING 3"" GEL PAD",3,JR,WHSE,48.36,145.08,C,
6510-21-903-0018,DRESSNG CHLORHX 4 X 4IN,12,BX,WHSE,14.22,170.64,C,
6510-21-913-9494,DRESSING MEPORE 9 X 10CM,2,BX,WHSE,22.5,45,C,
6510-21-914-4733,DRESSING MEPORE 7CM X 5M,4,RO,WHSE,9.3,37.2,C,
6510-25-125-9106,DRESSING MEPORE 9 X 20CM,3,EA,WHSE,0.76,2.28,C,
6510-CF-001-7793,DRESSING STRIP 4CM X 5M,10,EA,WHSE,17.64,176.4,C,
6510-CF-001-9356,BANDAGE ELASTIC 2IN X5YD (5cm x 4.5m),36,RO,WHSE,2.8,100.8,C,
6510-CF-002-0797,"DRESSING, BURN, DRY, 10CM X 20CM, ACTICOAT, ANTIMICROBIAL SILVER COATED",24,EA,WHSE,14.67,352.08,C,
6510-CF-002-0798,"DRESSING, BURN, DRY, 20CM X 40CM, ACTICOAT, ANTIMICROBIAL SILVER COATED",12,EA,WHSE,80.33,963.96,C,
6510-CF-002-7935,BANDAGE TENSOR LF 10CM,50,EA,WHSE,0.8,40,C,
6515-21-116-0241,STOCKINET SURGICAL 7.62C,1,RO,WHSE,7.65,7.65,C,
6515-21-843-5483,STOCKINET SURGICAL 10.16,1,RO,WHSE,9.31,9.31,C,
6515-21-878-1957,SCISSORS UNIVERSAL,2,EA,WHSE,2.94,5.88,D,
6515-CF-000-4976,TRAY DRESSING DISPOSABLE,4,EA,WHSE,1.09,4.36,C,
6515-CF-002-8171,KIT WOUND MANAGE DISP TR,5,KT,WHSE,6.65,33.25,D,
6515-CF-005-0019,"FINGER COT, SURGICAL, NON-LATEX, POWDER-FREE, NITRILE",720,EA,WHSE,0.11,79.2,C,
6515-CF-005-0020,"DRESSING RETAINER, TUBULAR, ELASTIC, LATEX-FREE. LARGE HEAD SHOULDER THIGH 25YD(22.8M)/ROLL. SZ 6",2,EA,WHSE,29.22,58.44,C,
6530-20-012-7761,ASSORTED SAFETY PINS,5,PG,WHSE,0.75,3.75,C,
6545-25-137-9465,DRESSING ADHESIVE 9X15CM,2,BX,WHSE,22.56,45.12,C,
9330-21-859-2658,"PLASTIC WRAP, ROLL, POLYVINYL CHLORIDE, 29.5CM WIDE, 90M LONG",1,EA,ExternalRqn,3.99,3.99,C,
