Item NSN,Description,Quantity,Unit of Measure,Source,Unit Price,Extended Price,Accountability Code,Is Sub-Kit
6510-01-558-3342,DRSSNG MODULAR 4IN NLTX,3,EA,WHSE,11.76,35.28,C,
6510-01-586-4314,BANDAGE TRAUMA 20IN X 20IN(50.8CM X 50.8CM),1,EA,WHSE,15.03,15.03,C,
6510-01-621-1129,"DRESSING, CHEST WOUND SEAL, NON-VALVED",2,PG,WHSE,36.59,73.18,C,
6510-01-658-7745,CHEST SEAL W/VALVE 2.0 NO PAD OR CAP,2,EA,WHSE,31.82,63.64,C,
6510-21-116-0154,"BANDAGE ELASTIC ADHESIVE BACK 7.5CM X 4.6M ROLLED, SKIN COLOUR, ONE SIDE COATED WITH ADHESIVE BACKING",1,EA,WHSE,9.58,9.58,C,
6510-21-116-0202,PAD NONADHERENT 7.5X10CM,10,EA,WHSE,0.11,1.1,C,
6510-21-849-8650,BANDAGE KNUCKLE 3X7CM(L),0.25,BX,WHSE,17.05,4.26,C,
6510-21-851-4200,BANDAGE COMPRESS 4 X 4IN,3,EA,WHSE,0.34,1.02,C,
6510-21-860-8464,SKIN CLOSURE 6 X 75MM,1,BX,WHSE,44.55,44.55,C,
6510-21-899-4382,DRESSING BLISTER KIT,1,PG,WHSE,11.33,11.33,C,
6510-CF-001-7793,DRESSING STRIP 4CM X 5M,1,EA,WHSE,17.64,17.64,C,
6510-CF-001-9836,PAD CHLORHEXIDINE 0.5%,0.5,BX,WHSE,14.24,7.12,C,
6510-CF-002-0901,BANDAGE BLISTER PROTECT,5,EA,WHSE,1.99,9.95,C,
6515-00-337-2400,"FORCEPS SPLINTER 4""(10CM)LG",1,EA,WHSE,1.1,1.1,D,
6515-01-217-1236,SPLINT UNIVERSAL. FOLDED,2,EA,WHSE,10.08,20.16,C,
6515-01-452-5833,CONNECTOR 22MM OD TUBING,1,EA,WHSE,0.48,0.48,C,
6515-20-011-1758,SCALPEL DISP 11 SAFETY SHIELD,2,EA,WHSE,2.89,5.78,C,
6515-21-877-1517,TUBING ASSY OXYGEN 7FT,1,EA,WHSE,0.85,0.85,C,
6515-21-878-1120,AIRWAY PHARYNGEAL SZ 2,1,EA,WHSE,0.83,0.83,C,
6515-21-878-1122,AIRWAY PHARYNG SZ4/90MM,1,EA,WHSE,3.12,3.12,C,
6515-21-878-1957,SCISSORS UNIVERSAL,2,EA,WHSE,2.94,5.88,D,
6515-21-884-3180,AIRWAY PHARYNGEAL SZ 3,1,EA,WHSE,0.83,0.83,C,
6515-21-884-3181,AIRWAY PHARYNGEAL SZ 1,1,EA,WHSE,1.5,1.5,C,
6515-21-884-3182,AIRWAY PHARYNG SZ5/100MM,1,EA,WHSE,2.35,2.35,C,
6515-CF-001-6515,VALVE ONE-WAY RESUS,1,EA,WHSE,2.44,2.44,D,
6515-CF-002-1607,MASK OXYGEN ADULT VENT,1,EA,WHSE,1.78,1.78,C,
6515-CF-002-6004,POUCH EMPTY NYLON WINDOW,1,EA,WHSE,23.62,23.62,C,
6515-CF-002-7539,SUCTION DVC TACT AIRWAY,2,EA,WHSE,59.28,118.56,C,
6515-CF-002-7569,CANNULA NASAL 7FT O2,1,EA,WHSE,0.7,0.7,C,
6515-CF-002-8539,"KIT, TEMPERATURE MONITORING, CONSTANT",1,EA,WHSE,694.73,694.73,C,
6515-CF-002-8619,"PADS, HEAT, OXYGEN ACTIVATED, SET OF 4 USED WITH BLANKET 6532-CF-003-0369",1,SE,WHSE,107.85,107.85,C,
6515-CF-005-0609,"GLOVE, EXAM NITRILE NON-STERILE CHEMO TESTED LARGE",0.4,BX,WHSE,22.28,8.91,C,
6515-CF-005-0650,"OXIMETER, FINGER PULSE, EDAN",1,EA,WHSE,36,36,C,
6515-CF-005-0805,"RESUSCITATOR, BVM ADULT, SPUR II, WITH MEDIUM MASK, PEEP VALVE",1,EA,WHSE,0,0,C,
6515-CF-005-1470,"CPR MASK, POCKET VENTILLATOR, W/HEADSTRAP, ONE-WAY VALVE AND OXYGEN INLET",2,EA,WHSE,5.4,10.8,C,
6532-CF-003-0369,BLANKET CASUALTY HYPOTHERMIA WITH 4 HEAT PADS,1,EA,WHSE,205,205,D,
6545-20-A0M-1004,"KIT, TMT, C.A.F. DIVE TEAM C-SPINE IMMOBILIZATION",1,KT,WHSE,655.45,655.45,D,Y
6545-CF-002-0271,KIT 8 AIRWAYS (OPA'S),1,KT,WHSE,20.01,20.01,C,
6760-01-491-2710,"CASE, PELICAN 1550, ORANGE WITH FOAM, 18.4IN X 14IN X 7.6IN",1,EA,WHSE,712.05,712.05,D,
