Item NSN,Description,Quantity,Unit of Measure,Source,Unit Price,Extended Price,Accountability Code,Is Sub-Kit
5340-01-682-0499,"CAP-PLUG,PROTECTIVE,DUST AND MOISTURE SEAL",5,EA,WHSE,0.12,0.6,C,
6135-21-892-7266,"BATTERY, C CELL",4,EA,ExternalRqn,1.44,5.76,C,
6230-00-125-5528,FLASHLIGHT DISP 11CM LG,10,EA,WHSE,3.02,30.2,C,
6505-00-299-8614,PROCAINAM 100MG/ML-10ML,20,BT,WHSE,84.63,1692.6,D,
6505-00-584-3131,LIDOCAINE 2% JELLY 30ML,6,TU,WHSE,21.11,126.66,C,
6505-01-063-9993,LUBRICANT SURGICAL 3.5G,100,EA,WHSE,0.17,17,C,
6505-01-131-3855,VERAPAMIL INJ 5MG/2ML,5,EA,WHSE,33.37,166.85,D,
6505-01-236-8880,ENALAPRIL MALEATE 5MG,100,EA,WHSE,0.09,9,D,
6505-01-534-2779,"DEXTROSE 5%, FOR INJECTION, 500ML, IV BAG",2,EA,WHSE,6.13,12.26,C,
6505-20-002-1827,DIPHENH INJ 50MG/ML-1ML,30,EA,WHSE,4.04,121.2,C,
6505-20-002-2214,METOPROLOL TARTR 1MG/ML,5,EA,WHSE,6.37,31.85,D,
6505-20-002-2285,AMIODARONE 50MG/ML,10,VI,WHSE,53.35,533.5,D,
6505-20-002-2287,LIDOCAINE SOLN 10MG/DOSE,3,EA,WHSE,82.02,246.06,C,
6505-20-012-4826,"LUBRICATING GEL, SURGICAL",2,TU,WHSE,1.85,3.7,C,
6505-20-012-6991,SALBUTAMOL SULFATE 1MG/ML 2.5ML NEBULE INHALATION SOLUTION,20,PG,WHSE,7.23,144.6,C,
6505-21-114-6675,CALCIUM GLUCON 10% INJ,2,EA,WHSE,20.23,40.46,C,
6505-21-114-6714,"DIPHENHYDRAMINE HCL, 50MG, CAPSULES OR TABLETS",200,EA,WHSE,0.13,26,C,
6505-21-114-6715,PHENYTOIN CP-SR 100MG,100,EA,WHSE,0.11,11,D,
6505-21-114-6722,EPINEPHRINE 1 MG/ML INJ,10,AM,WHSE,1.67,16.7,C,
6505-21-843-7900,NOREPINEPHRINE 1MG/ML,10,EA,WHSE,7.83,78.3,C,
6505-21-844-6131,MORPH SULF 10MG/ML-1ML,10,EA,WHSE,2.31,23.1,D,
6505-21-846-1276,DIAZEPAM N-CHW TB-SC 5MG,100,EA,WHSE,0.17,17,D,
6505-21-866-7943,DIAZEPAM INJ 5MG/ML-2ML,10,EA,WHSE,5.44,54.4,D,
6505-21-872-2053,SALBUTAMOL INHLR 100MCG,6,CN,WHSE,5,30,D,
6505-21-877-0838,PHENYTOIN 50MG/ML-5ML,10,EA,WHSE,28.9,289,D,
6505-21-880-6426,NALOXONE HCL 0.4MG/ML,10,EA,WHSE,13.75,137.5,D,
6505-21-882-6566,METOPROLOL TART TBS 50MG,100,EA,WHSE,0.06,6,D,
6505-21-883-3709,"DEXTROSE 5%, FOR INJECTION, 50ML, IV BAG",4,BG,WHSE,2.92,11.68,C,
6505-21-883-3725,"SODIUM CHLORIDE 0.9%, FOR INJECTION, 50ML, IV BAG",4,BG,WHSE,2.69,10.76,C,
6505-21-883-3726,"SODIUM CHLORIDE 0.9%, FOR INJECTION, 100ML, IV BAG",24,BG,WHSE,2.77,66.48,C,
6505-21-893-3466,HYDROCORT SOD SUCC 500MG,5,VI,WHSE,18.33,91.65,D,
6505-21-894-2130,HALOPERIDOL 5MG/ML (1ML),10,EA,WHSE,4.06,40.6,D,
6505-21-896-0117,CLINDAMYCIN 150MG/ML-2ML,8,VI,WHSE,7.7,61.6,D,
6505-21-896-0309,ACETYLCYST INJ 200MG/ML,72,EA,WHSE,27.5,1980,C,
6505-21-902-2080,IPRATROPIUM ORAL INHALER,2,EA,WHSE,11.72,23.44,D,
6505-21-902-2456,FENTANYL INJ 0.1MG/2ML,5,EA,WHSE,4.77,23.85,D,
6505-21-902-2473,"CHARCOAL-ACTIVATED, AND SORBITOL SUSPENSION CHARCOAL / SORBITOL 50-50G/250ML ORAL SUSPENSION",12,BT,WHSE,21.43,257.16,C,
6505-21-907-8031,VIT K1 10MG/ML INJ 1ML,5,EA,WHSE,6.24,31.2,D,
6505-21-912-4939,IPRATROP INHL SOL .025%,4,EA,WHSE,6.12,24.48,D,
6505-21-912-4940,KETAMINE HYDROCHLORIDE,5,EA,WHSE,28,140,D,
6505-21-912-6210,CEFTRIAXONE SOD PWDR 2GM,20,EA,WHSE,19.31,386.2,D,
6505-21-912-7265,FLUMAZENIL 0.1MG/ML-5ML,2,EA,WHSE,24.44,48.88,D,
