Item NSN,Description,Quantity,Unit of Measure,Source,Unit Price,Extended Price,Accountability Code,Is Sub-Kit
6505-21-114-6763,(D)ANESTHETIC LIDOCAINE,0.2,BX,WHSE,9.4,1.88,C,
6505-21-847-0131,(D)TRIAMCINOL .1% 7.5GR,1,TU,WHSE,11.71,11.71,D,
6505-CF-001-6733,CHLORH GLUC ORAL .12%,1,BT,WHSE,12.48,12.48,D,
6505-CF-001-8962,ANESTHETIC BUPIVACAIN,0.2,BX,WHSE,120.23,24.05,C,
6505-CF-002-6027,BENZOCNE 10% GEL 5.3G TU,1,TU,WHSE,5.42,5.42,C,
6510-21-890-0883,SPONGE 4-P STER 10X10CM,3,PG,WHSE,0.1,0.3,C,
6515-20-006-8681,COTTON TIP APPLICATOR. PLASTIC,0.05,BX,WHSE,5.3,0.27,C,
6515-21-845-2882,(D)SYRINGE ASPI HARPOON,3,EA,WHSE,33.32,99.96,C,
6515-CF-001-7899,(D)NEEDLE 30G SHORT MTL,0.05,BX,WHSE,29.95,1.5,C,
6515-CF-001-8134,(D)SYRINGE IRRIGTN 12CC,5,EA,WHSE,0.87,4.35,C,
6515-CF-002-8556,SCALPEL DISP 15 SAFETY SHIELD,3,EA,WHSE,2.89,8.67,C,
6520-CF-001-9218,(D)NEEDLE 27 GAUGE LONG,0.05,BX,WHSE,19.1,0.96,C,
6520-CF-003-0064,ORTHODONTIC WAX,3,EA,WHSE,1.57,4.71,C,
6520-CF-005-0592,EXAM SET-UP 4-IN-1 BUNDLE ASSORTMENT DISPOSABLE,3,EA,WHSE,2.46,7.38,C,
6520-CF-005-1129,"FORM, MANAGEMENT OF DENTAL EMERGENCIES, FLOWCHART, CFHS, 8.5"" x 11""",1,EA,WHSE,0,0,C,
6520-CF-005-1409,FLOSS WAXED 200 YARDS,1,EA,WHSE,0,0,C,
6545-CF-005-1452,"BAG, TRAUMA RESPONDER II, 9""W(23CM) x 17""L(43CM) x 15.5""H(39CM), MODEL 5103",1,EA,WHSE,0,0,C,
