Item NSN,Description,Quantity,Unit of Measure,Source,Unit Price,Extended Price,Accountability Code,Is Sub-Kit
6135-21-892-7267,BATTERY 1.5V TYPE AA,6,EA,ExternalRqn,0.48,2.88,C,
6230-CF-001-9910,VAGINAL SPECULUM ILLUMINATION SYSTEM CORDLESS WITH CHARGING STATION,1,EA,WHSE,330.44,330.44,D,
6240-00-295-2652,BULB REPLACEMENT 6IN,1,EA,WHSE,11.86,11.86,C,
6240-CF-001-7021,LAMP(BULB)OTOSCOPE 2.5V,1,EA,WHSE,20.95,20.95,C,
6240-CF-002-6268,LAMP RP 2.5V OP PCKTSCP,1,EA,WHSE,30,30,C,
6240-CF-002-8108,LAMP HALO 3.5V MACROVIEW,1,EA,WHSE,23.94,23.94,C,
6515-00-165-6544,DIAGNOSTIC SET ADC 2.5V,1,SE,WHSE,588.01,588.01,D,
6515-00-347-8600,MIRROR LARYNGEAL SZ 3,1,EA,WHSE,8.15,8.15,D,
6515-01-417-7883,LIGHT (UV) BURTON 110V,1,EA,WHSE,1042.77,1042.77,D,
6515-01-518-3518,THERMOMETER CLIN DIGITAL,1,EA,WHSE,349.18,349.18,D,
6515-01-525-0236,SPECULUM OTOSCOPE 4.25MM,2,BG,WHSE,35.19,70.38,C,
6515-01-565-7028,"SPECULUM, VAGINAL, MEDIUM",10,EA,WHSE,2,20,C,
6515-21-113-1540,HAMMER REFLEX TESTING,1,EA,WHSE,3.94,3.94,D,
6515-21-113-1564,SPHYGMOMANO POCKET TYPE,1,EA,WHSE,23.28,23.28,D,
6515-21-844-4259,TRANSILLUM HEAD WA43200,1,EA,WHSE,131.61,131.61,C,
6515-21-846-0930,"CUFF, BLOOD PRESSURE, CHILD, 18CM TO 26CM ARM CIRCUMFERENCE",1,EA,WHSE,8.1,8.1,C,
6515-21-847-0876,"SET, TUNING FORKS, SET OF 5 FORKS WITH CASE, RALK DESIGN, MAGNESIUM ALLOY CLASS 'C' PITCH",1,SE,WHSE,437,437,D,
6515-21-859-1545,"BAG, COMPRESSION, PEDIATRIC FOR SPHYGMOMANOMETER, 6.75IN X 3.75IN",1,EA,WHSE,5.74,5.74,C,
6515-21-859-1546,"BAG, COMPRESSION, PEDIATRIC FOR SPHYGMOMANOMETER, 4.75IN X 2.5IN",1,EA,WHSE,5.12,5.12,C,
6515-21-888-4548,"HANDLE, RECHARGEABLE, 3.5V FOR OTOSCOPE 6515-CF-002-8513 OR 6515-CF-002-7372 AND OPHTHALMOSCOPE 6540-01-239-5474",1,EA,WHSE,178.26,178.26,D,
6515-21-893-6397,MAGNIFIER BINOCULAR TYPE,1,EA,WHSE,70.85,70.85,D,
6515-21-897-5565,OTOSCOPE HEAD (3.5V),2,EA,WHSE,122.28,244.56,D,
6515-21-897-5566,TRANSFORMER (WALL) 3.5V,1,EA,WHSE,389.33,389.33,D,
6515-CF-000-5736,ANOSCOPE CLEAR PLASTIC,4,EA,WHSE,0.97,3.88,C,
6515-CF-001-2659,LIGHT HEAD ANOSCOPE,1,EA,WHSE,1143.88,1143.88,D,
6515-CF-001-6355,DESK CHARGER WELCH ALLYN,2,EA,WHSE,1375,2750,D,
6515-CF-001-9134,MOUTHPIECE PEAKFLW ADULT,25,EA,WHSE,1.04,26,C,
6515-CF-001-9272,PROBE AND WELL KIT ORAL,1,EA,WHSE,92.33,92.33,C,
6515-CF-001-9911,TRANSFORMER/VAGINAL SPEC,1,EA,WHSE,97.77,97.77,D,
6515-CF-002-7714,OXIMETER NONIN 9550,2,EA,WHSE,911.94,1823.88,D,
6515-CF-002-7942,"KIT, PROBE AND WELL, RECTAL, 4FT USE WITH 6515-01-513-3518",1,EA,WHSE,102.66,102.66,D,
6515-CF-002-8512,HANDLE FOR OTOSCOPE 6515-CF-002-8513 OR 6515-CF-002-7372 AND OPHTHALMOSCOPE 6540-01-239-5474,1,EA,WHSE,198.81,198.81,C,
6515-CF-002-8513,"OTOSCOPE HEAD, 3.5V, FIBER OPTIC, MACROVIEW",1,EA,WHSE,340.88,340.88,C,
6515-CF-002-8985,"TRANSILLUMINATOR, 3.5V, FINNOFF STYLE, HALOGEN",1,EA,WHSE,97.17,97.17,C,
6515-CF-005-0272,MINI-WRIGHT STANDARD ATS SCALE PEAK FLOW METER,1,EA,WHSE,34.2,34.2,C,
6515-CF-005-0273,"MINI WRIGHT PEAK FLOW METER MOUTHPIECE, DISPOSABLE",1,PG,WHSE,54,54,C,
6515-CF-005-0855,"3M LITTMANN CORE DIGITAL STETHOSCOPE CHESTPIECE, TUBE, STEM, AND HEADSET - 69CM",1,BX,WHSE,410,410,C,
6530-01-518-3577,PROBE COVER ORAL THERMO,2,PG,WHSE,1.16,2.32,C,
6530-20-001-2849,COVER PROBE THERMOMETER,4,PG,WHSE,3.93,15.72,C,
6540-01-239-5474,"OPHTHALMOSCOPE HEAD, 3.5V COAXIAL, HALOGEN",3,EA,WHSE,221.14,663.42,D,
6540-21-116-3036,"CHART, VISION ACUITY TES",1,EA,WHSE,32.73,32.73,C,
6540-CF-005-0456,"OCCLUDER, MULTI-PINHOLE",1,EA,WHSE,36.4,36.4,C,
6685-20-001-2846,THERMOMETER SELF INDICAT,8,EA,WHSE,10.2,81.6,C,
