Item NSN,Description,Quantity,Unit of Measure,Source,Unit Price,Extended Price,Accountability Code,Is Sub-Kit
6505-CF-001-9089,HUMIDIFIER BUBBLE 500ML,1,BT,WHSE,2.6,2.6,C,
6515-00-054-8174,SYRINGE IRRIG EAR 60ML,1,EA,WHSE,0.93,0.93,C,
6515-00-318-0140,CATH URET 16FR MERCIER,1,EA,WHSE,478.26,478.26,C,
6515-01-008-3338,PEN SKIN MARKING,2,EA,WHSE,0.89,1.78,C,
6515-01-541-0629,BAG MARINER ORNG EMPTY,30,EA,WHSE,154.82,4644.6,D,
6515-21-116-0445,TUBING LATEX 3/16IN X 1/16IN X 50FT/RL,2,RO,WHSE,17.2,34.4,C,
6515-21-116-2953,CONNECTOR (TUBE)1/4IN OD,2,EA,WHSE,0.35,0.7,C,
6515-21-116-3551,PLUG CATHETER SMALL,6,EA,WHSE,0.81,4.86,C,
6515-21-116-9252,CATH URET 16FR/5CC FOLEY,6,EA,WHSE,6.08,36.48,C,
6515-21-842-6372,"TUBE CONNECT 5/16""-9/16""",4,EA,WHSE,1.94,7.76,C,
6515-21-848-2730,TUBE DUODENAL 16FR,2,EA,WHSE,1.15,2.3,C,
6515-21-848-2731,TUBE DUODENAL 18FR,2,EA,WHSE,0.81,1.62,C,
6515-21-878-1957,SCISSORS UNIVERSAL,20,EA,WHSE,2.94,58.8,D,
6515-21-886-0787,CATHETERIZATION SET,2,EA,WHSE,4.55,9.1,C,
6515-CF-002-8154,"BAG MED BVS COYOTE BROWN W/ ""NICE"" FRAME",1,EA,WHSE,1599.05,1599.05,D,
6515-CF-002-9233,TRIAGE TAGS(SET)INCLUDES DEAD TAG,50,EA,WHSE,5.81,290.5,D,
6515-CF-002-9856,"TRAY, THORACENTESIS, SAFETY, NO NEEDLE",1,EA,WHSE,17.71,17.71,C,
6515-CF-003-0008,APPLICATOR DISPOSABLE,0.2,BX,WHSE,13.05,2.61,C,
6515-CF-005-0619,"SILICONE PENROSE DRAIN FOR CLOSED WOUND DRAINAGE 1/4"" X 12""",10,EA,WHSE,9.99,99.9,C,
6530-00-770-6425,BAG HOT WATER/ICE(FIELD),6,EA,WHSE,7.83,46.98,C,
6530-01-038-4587,STERI-DRAPE 57 X 66 CM,10,EA,WHSE,2.76,27.6,C,
6530-21-116-0406,CUSHION RING INFLATABLE,2,EA,WHSE,15.18,30.36,C,
6530-21-116-2847,JAR SET(5)GLASS SUNDRIES,1,SE,WHSE,88.92,88.92,C,
6530-21-848-4626,PAD PROTECTIVE BED,25,EA,WHSE,0.21,5.25,C,
6530-21-874-0093,"STOOL W/FOOTREST 25-32""",1,EA,WHSE,645.79,645.79,D,
6530-21-878-4381,"BAG BIOHAZARD DISPOSAL, 16IN WIDE X 24IN LONG, 1.5MM THICK",1,CS,WHSE,669.67,669.67,C,
6530-21-907-7372,BOTTLE URINE W/CAP 60ML,10,EA,WHSE,0.33,3.3,C,
6530-21-909-0770,BOTTLE PLASTIC 500ML,2,EA,WHSE,0.66,1.32,C,
6530-CF-005-0359,"BAG, URINARY DRAINAGE, 2000ML,",6,EA,WHSE,8.76,52.56,C,
6540-01-296-2130,LENS OPHTH IRRIG MORGAN,10,EA,WHSE,69.44,694.4,C,
6545-00-912-9890,CASE (BACKPACK) AIRBORNE,1,EA,WHSE,65,65,D,
6545-20-011-8366,"HOLSTER, SHEATH, SCISSORS, BELT",20,EA,WHSE,25.38,507.6,C,
6545-CF-002-8126,KIT CHEST TUBE IN DISP,1,KT,WHSE,54.56,54.56,D,
