Item NSN,Description,Quantity,Unit of Measure,Source,Unit Price,Extended Price,Accountability Code,Is Sub-Kit
5340-21-868-8442,"SEAL, ANTIPILFERAGE, LEAD WIRE",4,EA,ExternalRqn,0.1,0.4,C,
6510-21-912-7057,TAMPON SANITARY W/O APPLICATOR SUPER,36,EA,WHSE,0.23,8.28,C,
6510-CF-005-0004,"PAD, POVIDONE-IODINE IMPREGNATED, SINGLE",10,EA,WHSE,0.33,3.3,C,
6515-01-649-5343,TOURNIQUET LATEX FREE,4,EA,WHSE,0.29,1.16,C,
6515-CF-001-7638,"BLOOD KT SAFLOK 21GX3/4""",2,EA,WHSE,1.22,2.44,C,
6515-CF-002-7194,NEEDLE BLOOD COLL SAFE,6,EA,WHSE,0.29,1.74,C,
6530-CF-001-9532,CONTAINER SPECIMEN 90ML,2,EA,WHSE,0.19,0.38,C,
6545-CF-001-1440,WHIRL PACK SAMPLING BAGS,4,EA,WHSE,126.78,507.12,C,
6545-CF-001-1441,WHIRL PACK SAMPLING BAGS,4,EA,WHSE,178.22,712.88,C,
6630-00-404-2220,HOLDER BLOOD TUBE 16MM,2,EA,WHSE,0.32,0.64,C,
6630-CF-001-9151,TUBE BLOOD RED 10ML,6,EA,WHSE,0.33,1.98,C,
6640-CF-002-8680,TUBE BLOOD COLLECT GREY 10ML,4,EA,WHSE,0.19,0.76,C,
6640-CF-002-9108,"TUBE, PLASMA COLLECTION, VACUUM, PLASTIC 16 X 100MM X 10Ml, WIT HEPARIN SPRAY COATED, GREEN TOP",4,EA,WHSE,0.47,1.88,C,
7330-21-865-5782,ICE PACK RIGID 1.0LB,2,EA,ExternalRqn,3.49,6.98,D,
7330-CF-002-7147,"CHEST, COOLER, INSULATED, 15.1L, RED, ATTACHED WHITE LID, MOLDED HANDLE",1,EA,WHSE,50.6,50.6,C,
7510-20-A03-9054,MARKER BLCK FINE SHARPIE,1,EA,ExternalRqn,1.25,1.25,C,
7530-21-844-6267,LABEL PLAIN WHITE PAPER,3,RO,ExternalRqn,0.05,0.15,C,
8105-21-900-0913,"BAG, PLASTIC, ZIPLOCK CLOSURE, 4IN X 6IN",0.3,PG,ExternalRqn,0.06,0.02,C,
8105-21-900-0916,"BAG, PLASTICK, WITH ZIPLOCK CLOSURE, 10IN X 8IN",0.3,PG,ExternalRqn,6.33,1.9,C,
8115-01-672-9067,"CASE, MAILING, LABORATORY SPECIMEN, 3 TUBE",3,PR,WHSE,1.18,3.54,C,
8115-21-913-5632,CONTAINER ASSY MSTU KIT,1,EA,WHSE,432.5,432.5,C,
BOOOKLET5,COPY OF KIT DEFINITION MSTU FATAL,1,,Resource,0.25,0.25,,
LABEL5,EXEMPT HUMAN SPECIMEN,4,,ExternalRqn,0.1,0.4,,
LABEL6,UN 3373 BIOLOGICAL SUBSTANCE CATEGORY B,4,,ExternalRqn,0.1,0.4,,
PAMPHLET10,EXTERNAL SPECIMEN CHAIN OF CUSTODY FORM AC8025-3,1,,Resource,0.04,0.04,,
PAMPHLET6,AMA DIRECTIVE 300-02 MEDICAL INVESTIGATION AND REPORTING OF FLIGHT SAFETY OCCURRENCES.,1,,Resource,1.6,1.6,,
PAMPHLET7,CF PROCEDURES FOR COLLECTING AND SHIPPING TOXICOLOGY SPECIMENS FROM FATAL OCCURRENCES TO FEDERAL AVIATION ADMINISTRATION CIVIL AEROSPACE MEDICAL INSTITUTE,1,,Resource,1,1,,
PAMPHLET8,POST-INCIDENT AND CRASH PROCEDURES,1,,Resource,0.02,0.02,,
PAMPHLET9,PHAC MARKING AND LABELLING,1,,Resource,0.03,0.03,,
