Item NSN,Description,Quantity,Unit of Measure,Source,Unit Price,Extended Price,Accountability Code,Is Sub-Kit
6515-00-982-7493,"MASK, SURGICAL, MEDICAL, HALYARD CANADA, HEADBAND, CONE SHAPED, BLUE",2,BX,ExternalRqn,15.03,30.06,C,
6515-01-315-6095,"MASK, SURGICAL, MEDICAL, HALYARD CANADA, ASTM LEVEL 3, PLEAT STYLE, W/FACE SHEILD, ORANGE",2,BX,WHSE,43.93,87.86,C,
6515-01-690-0047,"FILTER, BACTERIAL VIRAL PLUS HME",6,EA,WHSE,27.14,162.84,C,
6515-01-693-3656,"MASK, N95, MEDICAL, HALYARD CANADA, DUCKBILL, WHITE",50,EA,WHSE,1.74,87,C,
6515-CF-002-7242,"GLOVES, SURGICAL, STERILE, CARDINAL HEALTH, SYNTHETIC NEOPRENE, SIZE 5.5, CREAM",5,PR,WHSE,1.86,9.3,C,
6515-CF-002-7243,"GLOVES, SURGICAL, STERILE, CARDINAL HEALTH, SYNTHETIC NEOPRENE, SIZE 6, CREAM",5,PR,WHSE,1.86,9.3,C,
6515-CF-002-7244,"GLOVES, SURGICAL, STERILE, CARDINAL HEALTH, SYNTHETIC NEOPRENE, SIZE 6.5, CREAM",5,PR,WHSE,1.86,9.3,C,
6515-CF-002-7245,"GLOVES, SURGICAL, STERILE, CARDINAL HEALTH, SYNTHETIC NEOPRENE, SIZE 7, CREAM",5,PR,WHSE,1.86,9.3,C,
6515-CF-002-7246,"GLOVES, SURGICAL, STERILE, CARDINAL HEALTH, SYNTHETIC NEOPRENE, SIZE 7.5, CREAM",40,PR,WHSE,1.86,74.4,C,
6515-CF-002-7247,"GLOVES, SURGICAL, STERILE, CARDINAL HEALTH, SYNTHETIC NEOPRENE, SIZE 8, CREAM",40,PR,WHSE,1.86,74.4,C,
6515-CF-002-7248,"GLOVES, SURGICAL, STERILE, CARDINAL HEALTH, SYNTHETIC NEOPRENE, SIZE 8.5, CREAM",40,PR,WHSE,1.86,74.4,C,
6515-CF-002-7249,"GLOVES, SURGICAL, STERILE, CARDINAL HEALTH, SYNTHETIC NEOPRENE, SIZE 9, CREAM",40,PR,WHSE,1.86,74.4,C,
6515-CF-002-9111,"GLOVES, MOISTURIZED, 15 PACKS OF 14 GLOVES PER CASE",4,PG,WHSE,4.2,16.8,C,
6515-CF-002-9112,"BAG, VOMIT GRAV FEEDER 50EA/BX",1,BX,WHSE,40.14,40.14,C,
6515-CF-002-9113,"BEDPAN SUPPORT COVER, 20EA/CA",1,CS,WHSE,50,50,C,
6515-CF-002-9114,"SUPPORT URINAL ELONGATED, 20EA/CA",1,CS,WHSE,50,50,C,
6515-CF-002-9115,"SUPPORT VOMIT BAG, 20EA/CA",1,CS,WHSE,109.73,109.73,C,
6515-CF-002-9118,"COVER, URINAL HYGIENIC, 20EA/PK",2,PG,WHSE,11,22,C,
6515-CF-002-9119,"COVER, EMESIS HYGIENIC, 20EA/PK",2,PG,WHSE,16.76,33.52,C,
6515-CF-002-9120,"PAD ABSORBENT, 30EA/PK",6,PG,WHSE,13.7,82.2,C,
6515-CF-005-0356,"LINER, BEDPAN, SUPER-ABSORBENT PAD",40,EA,WHSE,0.85,34,C,
6515-CF-005-0387,"CONDOM, POLYISOPRENE, LATEX-FREE, LUBRICATED",1440,EA,WHSE,0.47,676.8,C,
6515-CF-005-0607,"GLOVE, EXAM NITRILE NON-STERILE CHEMO TESTED SMALL",20,BX,WHSE,22.28,445.6,C,
6515-CF-005-0608,"GLOVE, EXAM NITRILE NON-STERILE CHEMO TESTED MEDIUM",20,BX,WHSE,22.28,445.6,C,
6515-CF-005-0609,"GLOVE, EXAM NITRILE NON-STERILE CHEMO TESTED LARGE",20,BX,WHSE,22.28,445.6,C,
6515-CF-005-0610,"GLOVE, EXAM NITRILE NON-STERILE CHEMO TESTED XLARGE",5,BX,WHSE,19.31,96.55,C,
6530-00-771-0225,"BASIN WASH ROUND 14""DIA",2,EA,WHSE,71.91,143.82,D,
6530-01-006-4516,BRUSH SURG SCRUB 11X4CM,15,EA,WHSE,2.53,37.95,C,
6530-01-219-8615,BEDPAN PLASTIC W/HANDLE,1,EA,WHSE,5.51,5.51,C,
6530-21-116-5139,DISPENSER EZ SCRUB BRUSH,1,EA,WHSE,41.4,41.4,D,
6530-21-851-1647,BASIN EMESIS (PLASTIC),4,EA,WHSE,2.23,8.92,C,
6530-21-851-1648,"BASIN WASH ROUND 13""DIA",4,EA,WHSE,4.48,17.92,C,
6530-21-851-1652,URINAL MALE (1.75 QT),1,EA,WHSE,7.46,7.46,C,
6530-21-870-7889,URINAL FEMALE (1.00 QT),1,EA,WHSE,5.34,5.34,C,
6530-21-903-0012,"SPONGE/SCRUB ""PRE-OP II""",30,EA,WHSE,1.4,42,C,
7930-20-012-2541,"WIPE DISINFECTING TOWELLETTE, ACCEL WIPES",6,CN,WHSE,18.44,110.64,C,
