Item NSN,Description,Quantity,Unit of Measure,Source,Unit Price,Extended Price,Accountability Code,Is Sub-Kit
6515-00-320-4600,FORCEPS TOWEL BACK 14CM,12,EA,WHSE,17.42,209.04,D,
6515-00-334-4300,FORCEPS HEMOSTATIC ROCHESTER-PEAN DSGN CURVED SERRATED JAWS 6-1/4 IN SINGLE JOINT BOX LOCK W/FINGER RINGS,12,EA,WHSE,65.41,784.92,C,
6515-00-337-2400,"FORCEPS SPLINTER 4""(10CM)LG",10,EA,WHSE,1.1,11,D,
6515-00-337-7800,"FORCEP TIS ADSN 4""/1X2TH",6,EA,WHSE,37.77,226.62,D,
6515-00-337-9900,"FORCEP TIS TWZR 5""/1X2TH",4,EA,WHSE,14.97,59.88,D,
6515-00-338-0300,"FORCEPS, TISSUE, ALLIS DESIGN, 6IN(15CM)LONG, 4 TO 5 TEETH AT TIP, BOX LOCK RATCH- PAWL WITH FINGER RINGS, SINGLE JOINTED",5,EA,WHSE,101.12,505.6,C,
6515-00-363-8800,"SCISS BAND LISTER 5.5""",4,EA,WHSE,3.53,14.12,D,
6515-00-363-8840,SCISS BAND LISTER 7IN,2,EA,WHSE,18.42,36.84,D,
6515-00-364-0900,SCISSORS MAYO DSGN 13CM,4,EA,WHSE,24.33,97.32,D,
6515-00-364-4600,"SCISS IRIS 4.5""(11.4CM)SHARP",4,EA,WHSE,18.78,75.12,D,
6515-00-364-4800,SCISS IRIS SHARP 4.5IN,4,EA,WHSE,1.8,7.2,D,
6515-00-365-1820,SCISS GEN SURG STRT 13CM,5,EA,WHSE,14.25,71.25,D,
6515-00-369-9100,SPECUL NASAL VENNA ADLT,1,EA,WHSE,265.2,265.2,D,
6515-00-373-9700,SPUD EYE DOUBLE ENDED,1,EA,WHSE,50.46,50.46,D,
6515-01-251-3764,KNIFE (DISPOSABLE),3,BX,WHSE,23.3,69.9,C,
6515-01-565-7028,"SPECULUM, VAGINAL, MEDIUM",4,EA,WHSE,2,8,C,
6515-01-688-4412,FORCEPS TISSUE 4 3/4IN,8,EA,WHSE,2.53,20.24,D,
6515-20-011-1758,SCALPEL DISP 11 SAFETY SHIELD,10,EA,WHSE,2.89,28.9,C,
6515-21-116-3926,"DIRECTOR & TONGUE TIE 6""",2,EA,WHSE,38,76,C,
6515-21-116-4037,"FORCEPS DRESSING 6""(15.2CM)LG",6,EA,WHSE,6.13,36.78,C,
6515-21-116-4046,FORCEP GAUZE PAD HOLDING,8,EA,WHSE,19.88,159.04,C,
6515-21-116-4050,FORCEP HEMO CRIL CV 13CM,6,EA,WHSE,12.44,74.64,C,
6515-21-116-4069,"FORCEPS IRIS 2-1/2""",5,EA,WHSE,83.13,415.65,C,
6515-21-116-4391,NIPPER INGROWN TOENAIL 4.5-5IN LG CONCAVE JAWS LAP LOCK JOINT,1,EA,WHSE,119.14,119.14,C,
6515-21-116-4482,PROBE W/EYE (GP) 15.2CM,15,EA,WHSE,6.2,93,C,
6515-21-116-4548,RETRACTOR MASTOID SENN,4,EA,WHSE,20.5,82,C,
6515-21-116-4574,SAW FINGER RING,1,EA,WHSE,24.35,24.35,C,
6515-21-116-4589,"SCISSORS SUTURE 5 1/2""(14CM)LG",15,EA,WHSE,35.67,535.05,C,
6515-21-116-4672,"SPECULUM RECTAL 4 1/2""LG",1,EA,WHSE,110,110,C,
6515-21-116-9975,"SCISSORS 9""(23CM)LG BLUNT",3,EA,WHSE,22.25,66.75,C,
6515-21-840-9136,SCISS SUT DELIC STRT 8CM,2,EA,WHSE,10.84,21.68,D,
6515-21-842-6747,HOLDER S-N CRILE 15CM,10,EA,WHSE,50.9,509,D,
6515-21-848-1891,STYLET CATH GUIDE 8FR,2,EA,WHSE,32.08,64.16,C,
6515-21-855-0152,"FORCEP TIS GILL 6""/1X2TH",10,EA,WHSE,11.57,115.7,C,
6515-21-878-2219,LOCKING COLLAR SET OF 2,1,SE,WHSE,42.06,42.06,C,
6515-21-879-7639,BLADE FINGER RING SAW,1,EA,WHSE,12.15,12.15,C,
6515-CF-002-7942,"KIT, PROBE AND WELL, RECTAL, 4FT USE WITH 6515-01-513-3518",1,EA,WHSE,102.66,102.66,D,
6515-CF-002-8554,SCALPEL DISP 10 SAFETY SHIELD,10,EA,WHSE,2.89,28.9,C,
6515-CF-002-8556,SCALPEL DISP 15 SAFETY SHIELD,10,EA,WHSE,2.89,28.9,C,
6530-21-116-2810,"BOWL, SURGICAL SPONGE (C",6,EA,WHSE,10.28,61.68,C,
6530-21-116-2942,"TRAY INSTRUMENT 9X5X2""",5,EA,WHSE,16.91,84.55,C,
6530-21-116-5202,STAND (MAYO) W/TRAY,1,EA,WHSE,140.71,140.71,D,
6530-21-852-5336,CUP IODINE 170CC(6 OZ.),10,EA,WHSE,5.17,51.7,C,
6530-CF-002-0474,TRAY INSTR W/O COVER,1,EA,WHSE,18.67,18.67,C,
6530-CF-002-0475,TRAY INSTRUMENT CATHETER,1,EA,WHSE,36.58,36.58,C,
6545-21-116-4722,SURG INSTRUM SET (TRANS),1,SE,WHSE,443.38,443.38,D,
