Item NSN,Description,Quantity,Unit of Measure,Source,Unit Price,Extended Price,Accountability Code,Is Sub-Kit
6505-21-855-2221,"SODIUM CHLORIDE 0.9%, FOR INJECTION, 500ML, IV BAG",10,BG,WHSE,2.67,26.7,C,
6505-21-855-3740,"DEXTROSE 5% & SODIUM CHLORIDE 0.9%, FOR INJECTION, 1000ML, IV BAG",12,BG,WHSE,3.33,39.96,C,
6505-21-855-3741,"DEXTROSE 5%, FOR INJECTION, 1000ML, IV BAG",12,BG,WHSE,2.94,35.28,C,
6505-21-855-3742,"LACTATED RINGER'S, FOR INJECTION, 1000ML, IV BAG",24,BG,WHSE,4,96,C,
6505-21-855-3743,"SODIUM CHLORIDE 0.9%, FOR INJECTION, 1000ML, IV BAG",48,BG,WHSE,2.89,138.72,C,
6505-21-895-1613,WATER 10ML FOR INJECTION,48,EA,WHSE,0.65,31.2,C,
6505-21-897-5922,SOD CHLOR IRR .9% 1000ML,3,BT,WHSE,5.19,15.57,C,
6505-21-897-5924,WATER/IRRIGATION 500ML,12,BT,WHSE,3.34,40.08,C,
6505-CF-001-4283,"DEXTROSE 10%, FOR INJECTION, 500ML, IV BAG",6,EA,WHSE,3.07,18.42,C,
6505-CF-001-9296,"POTASSIUM CHLORIDE 0.15% & SODIUM CHLORIDE 0.9%, FOR INJECTION, 1000 ML, IV BAG",12,EA,WHSE,4.03,48.36,C,
6505-CF-002-1309,"SODIUM CHLORIDE 3%, FOR INJECTION, 250ML, IV BAG",4,BG,WHSE,3.73,14.92,C,
6515-01-457-1496,"NEEDLE HYPO 21G X 1-1/2""",50,EA,WHSE,0.19,9.5,C,
6515-01-537-9007,"NEEDLE SET,INTRAOSSEOUS INJECTION, ADULT, 15 GAUGE, 25MM LONG, 304 STAINLESS STEEL, LATEX-FREE, FOR USE WITH 6515-01-590-8589 DRIVER INTRAOSSEOUS",5,EA,WHSE,175,875,C,
6515-01-537-9013,"NEEDLE SET,INTRAOSSEOUS INJECTION, PEDIATRIC, 15 GAUGE, 15MM LONG, 304 STAINLESS STEEL, LATEX-FREE, FOR USE WITH 6515-01-590-8589 DRIVER INTRAOSSEOUS OR MANUALLY FOR PEDIATRIC USAGE.",5,EA,WHSE,175,875,C,
6515-01-577-0312,"SET, NEEDLE, INTRAOSSEOUS, 45MM, HUMERUS, YELLOW HUB, 15G, USED WITH BONE GUN 6515- 01-590-8589",10,SE,WHSE,175,1750,C,
6515-01-583-0475,"SYRINGE,HYPODERMIC. CAPACITY 50 ML",6,EA,WHSE,0.99,5.94,C,
6515-01-590-8589,"INTRAOSSEOUS INJECTION GUN, BONE HAND HELD, LITHIUM BATTERY POWERED, 450G , RED COLOUR, CIVILIAN VERSION",1,EA,WHSE,422.94,422.94,D,
6515-01-626-6395,"DRIVER, MANUAL, INTRAOSSEOUS DEVICE AND NEEDLE, STERILE",5,PG,WHSE,391.67,1958.35,C,
6515-12-381-0798,SODIUM CHLORIDE 0.9%,30,EA,WHSE,1.36,40.8,C,
6515-20-011-2559,"TRAY, TACTICAL VASCULAR",6,SE,WHSE,46.78,280.68,D,
6515-21-870-5822,SYR HYPO PLS/SGL-SC 20CC,20,EA,WHSE,0.66,13.2,C,
6515-21-870-8181,SYR HYPO PLS/DBL-SC 1CC,25,EA,WHSE,0.33,8.25,C,
6515-21-880-6732,SYR INSUL 28G-1.0CC/100U,12,EA,WHSE,0.13,1.56,C,
6515-CF-000-7807,FILTER I.V. 0.22 MICRON,2,EA,WHSE,5.38,10.76,C,
6515-CF-001-7638,"BLOOD KT SAFLOK 21GX3/4""",50,EA,WHSE,1.22,61,C,
6515-CF-002-0114,ADMIN SET IV FLUIDS,4,EA,WHSE,26.03,104.12,C,
6515-CF-002-0856,SET EXTEN IV .4ML 15.2CM,20,EA,WHSE,6.09,121.8,C,
6515-CF-002-8686,SET IV INJECTION 23G X 0.75IN WITH TUBING AND LUER ADAPTER,50,SE,WHSE,1.53,76.5,C,
6515-CF-002-8693,NEEDLE HYP SAFETY 21G X 1.5IN,500,EA,WHSE,0.13,65,C,
6515-CF-002-9076,"SET, SOLUTION, 10 DROPS/ML, 3 LEUR VALVES, MALE LUER LOCK, 105IN LONG",48,EA,WHSE,8.4,403.2,C,
6515-CF-002-9580,"CATHETER INTRAVENOUS, TEFLON, GREY, 16G X 3.25IN",10,EA,WHSE,11.04,110.4,C,
6515-CF-002-9589,"SET, SECONDARY MEDICAL, NEEDLELESS, WITH HANGER AND MALE LUER LOCK ADAPTER, 37IN (94CM)",12,EA,WHSE,2.17,26.04,D,
6515-CF-005-0182,CATHETER INSYTE AG 20GX1.88 IN PINK - AUTOGUARD BC PRO,0.8,BX,WHSE,155.75,124.6,C,
6530-01-173-8892,"CONTAINER, SHARPS, BIOHAZARD, 7.6L",1,EA,WHSE,7.49,7.49,C,
6630-CF-002-0890,HOLD NEEDLE BD QUICK REL,20,EA,WHSE,2.15,43,C,
