Item NSN,Description,Quantity,Unit of Measure,Source,Unit Price,Extended Price,Accountability Code,Is Sub-Kit
6545-01-617-5668,BAG MEDICAL RATS BVS,5,EA,WHSE,1093.21,5466.05,D,
6545-20-A0M-1004,"KIT, TMT, C.A.F. DIVE TEAM C-SPINE IMMOBILIZATION",1,KT,WHSE,655.45,655.45,D,Y
6545-20-A0M-1006,"KIT, MEDICAL, C.A.F. DIVE TEAM",1,KT,WHSE,2343.33,2343.33,D,Y
6545-20-A0U-7793,"KIT, TMT CRASH CART, MAJOR WARSHIP, MEDICAL TREATMENT FACILITY",1,KT,WHSE,35427.51,35427.51,D,Y
6545-20-A0U-8722,"TREATMENT, SET, CORE, MAJOR NAVAL WARSHIP, MEDICAL TREATMENT FACILITY.",1,SE,WHSE,91622.86,91622.86,C,Y
6545-21-111-8439,FIRST AID KIT GENERAL PURPOSE NO.1 FOR 1 TO 9 PERSONS,10,KT,WHSE,21.45,214.5,D,Y
6545-21-912-4985,TRANSIT UNIT MEDICAL SPECIMEN NON-FATAL ACCIDENT,2,KT,WHSE,538.33,1076.66,D,Y
6545-21-912-4986,TRANSIT UNIT MEDICAL SPECIMEN FATAL ACCIDENT,2,KT,WHSE,1754.12,3508.24,D,Y
6545-21-920-2280,TREATMENT KIT HIV POST-EXPOSURE PROPHYLAXIS,1,KT,WHSE,842.26,842.26,D,Y
6545-CF-002-0270,KIT PEDIATRIC RESUS,1,KT,WHSE,2789.08,2789.08,D,
6545-CF-002-1002,"KIT, TREATMENT, MED TECH, BAG",5,KT,WHSE,5591.52,27957.6,D,Y
6545-CF-002-8529,"KIT, TREATMENT, MEDICATIONS, MED TECH BAG",5,KT,WHSE,1270.46,6352.3,D,Y
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",5,KT,WHSE,11571.93,57859.65,D,Y
6545-CF-005-0860,"KIT, FIRST AID, TCCC, ALL SERVICE MEMBERS (ASM), MARITIME VARIANT",20,KT,WHSE,0,0,D,Y
6545-CF-005-0890,"KIT, R1, DENTAL EMERGENCY, PA/MO",1,KT,WHSE,0,0,D,Y
6640-20-010-9275,"KIT, SEXUAL ASSAULT DETERMINATION, BIOLOGY",6,KT,WHSE,109.4,656.4,C,
6640-20-010-9276,"KIT, SEXUAL ASSAULT DETERMINATION, TOXICOLOGY",2,KT,WHSE,37.65,75.3,C,
