Item NSN,Description,Quantity,Unit of Measure,Source,Unit Price,Extended Price,Accountability Code,Is Sub-Kit
6130-CF-002-9300,"POWER SUPPLY FOR BASE UNIT KIT, ANALYZER, BLOOD GLUCOSE 6630-CF-002-9302",1,EA,WHSE,41.83,41.83,D,
6515-CF-002-8016,DEVICE LANCET SAFETY,200,EA,WHSE,0.25,50,C,
6515-CF-002-9299,"SLEEVE, PROTECTIVE, FOR ANALYZER 6630-CF-002-9295",1,BX,WHSE,25.2,25.2,C,
6515-CF-005-1042,"TEST KIT, ONE-STEP hCG COMBO LATERAL FLOW, QUICKVUE+",3,BX,WHSE,130.36,391.08,C,
6550-00-261-9053,"KIT, GRAM STAINING, 4 X 250ML BOTTLES GRAM CRYSTAL VIOLET, STABILIZED IODINE DECOLORIZER AND SAFRANIN",1,BX,WHSE,281.82,281.82,C,
6550-01-093-4010,CONTROL STRIPS (VISUAL),2,BT,WHSE,74.95,149.9,C,
6550-01-165-6732,STAIN SOLN WRIGHT/GIEMSA,1,BT,WHSE,174.19,174.19,C,
6550-01-221-5400,TEST STRIP MULTI-2300A,1,BT,WHSE,48.3,48.3,C,
6550-21-870-8620,TEST KIT STREPTOCOCCAL EXOENZYME ANTIBODY,1,KT,WHSE,117.84,117.84,C,
6550-CF-002-6028,TEST KT MONO CLEARVW IM,1,KT,WHSE,135,135,C,
6550-CF-002-7803,REAGENT MI TROPONIN I,1,BX,WHSE,683,683,C,
6550-CF-002-8127,TEST KIT OCCULT BLOOD,1,KT,WHSE,7.24,7.24,C,
6550-CF-002-9296,"TEST STRIP, BLOOD GLUCOSE FOR ANALYZER 6630-CF-002-9295",2,BX,WHSE,27.86,55.72,C,
6550-CF-002-9297,"CONTROL SOLUTION, BLOOD GLUCOSE MONITORING, FOR ANALYZER 6630-CF-002-9295",1,PG,WHSE,10.25,10.25,C,
6550-CF-002-9298,"LINEARITY KIT, BLOOD GLUCOSE MONITOR, FOR ANALYZER 6630-CF-002-9295",1,EA,WHSE,172.71,172.71,C,
6550-CF-002-9346,"POSITIVE/NEGATIVE CONTROL SET (SWABS), USED WITH 6550-21-870-8620.",1,BX,WHSE,95.73,95.73,C,
6550-CF-005-0041,"CONTROL, QUALITY, LEVELS 1 & 2 FOR TROPONIN I",1,BX,WHSE,270,270,C,
6630-CF-002-9295,"ANALYZER, BLOOD GLUCOSE, HAND-HELD",1,EA,WHSE,1114.27,1114.27,D,
7510-CF-005-0045,"LEAFLET, SOP FOR LIFESIGN TROPONIN I",1,EA,WHSE,0.05,0.05,C,
