Item NSN,Description,Quantity,Unit of Measure,Source,Unit Price,Extended Price,Accountability Code,Is Sub-Kit
5120-21-116-4929,WRENCH BOX GAS CYLINDER,10,EA,WHSE,3.43,34.3,C,
5340-01-518-5148,PATIENT RESTRAINT 7F 2PC,2,EA,WHSE,37.38,74.76,C,
6130-01-679-5815,"BATTERY PACK, PUMP, INTRAVENOUS INFUSION WITHOUT WIFI",1,EA,WHSE,143.29,143.29,D,
6135-00-826-4798,"BATTERY, ALKALINE, AAA",10,EA,ExternalRqn,0.37,3.7,C,
6135-21-892-7267,BATTERY 1.5V TYPE AA,10,EA,ExternalRqn,0.48,4.8,C,
6150-01-680-2292,"CORD, ELECTRICAL, PUMP, INTRAVENOUS INFUSION",1,EA,WHSE,169.24,169.24,D,
6150-12-395-0168,"CABLE, COMBI LEAD POWER CABLE-TRIPLE TAIL, FOR USE WITH B BRAUN SPACE PUMP",1,EA,WHSE,212.47,212.47,D,
6240-01-465-7702,"LAMP,ULTRAVIOLET",1,EA,WHSE,248.32,248.32,D,
6240-01-465-7712,"BULB, LIGHT, ULTRAVIOLET",1,EA,WHSE,51.02,51.02,C,
6505-21-907-7580,"OXYGEN 93% CONCENTRATED, 6840L, COMPLETE WITH SIZE-K CYLINDER",2,EA,WHSE,1142.15,2284.3,C,
6505-CF-001-6629,"OXYGEN 93% CONCENTRATED, 637L, COMPLETE WITH JUMBO D CYLINDER",20,EA,WHSE,306.38,6127.6,C,
6505-CF-001-9089,HUMIDIFIER BUBBLE 500ML,1,BT,WHSE,2.6,2.6,C,
6515-01-246-2951,CANNULA LARYNGEAL(BISON),5,EA,WHSE,0.62,3.1,C,
6515-01-322-5881,"ADMINISTRATION SET, IV SECONDARY 15GTT, 40INL, SPIN LOCK W/HANGER, 50'S",50,EA,WHSE,1.26,63,C,
6515-01-428-7546,"PAD, ELECTRODE, DEFIBRILLATOR ""STAT PADZ""",2,PR,WHSE,55.93,111.86,C,
6515-01-505-3037,"ELECTRODE,ELECTROCARDIOGRAPH. DISPOSABLE",1,BX,WHSE,30.8,30.8,C,
6515-01-540-3238,"DEFIBRILLATOR, AUTOMATIC EXTERNAL, LCD SCREEN",2,EA,WHSE,1453.58,2907.16,B,
6515-01-615-2305,"SET, ELECTRODE, ECG READINESS PACK FOR VITAL SIGNS MONITOR 6515-01-693-1239",2,SE,WHSE,170.52,341.04,C,
6515-01-626-8691,"MONITOR, CO2, COMPACT WITH ALARMS",1,EA,WHSE,1451.93,1451.93,B,
6515-01-652-4131,"ADAPTER, AIRWAY, INFANT FOR CO2 MONITOR 6515-01-652-4131",1,BX,WHSE,200,200,C,
6515-01-656-4726,TUBE PATIENT FOR LSU,5,EA,WHSE,21.87,109.35,C,
6515-01-676-0320,"PUMP, INTRAVENOUS INFUSION",1,EA,WHSE,3000,3000,B,
6515-01-676-8354,"ADMINISTRATION SET, INFUSION PUMP, 120IN LONG,15 DROPS/ML.",48,EA,WHSE,6.65,319.2,C,
6515-01-676-8390,"ADMINISTRATION SET, Y TYPE BLOOD PUMP CARESITE INJ, 24'S",48,EA,WHSE,9.45,453.6,C,
6515-01-679-7743,"CLAMP, IV POLE, PUMP, INTRAVENOUS INFUSION",1,EA,WHSE,151,151,D,
6515-01-690-1463,SPACE PUMP IV SET WITH ANTI-SIPHON VALVE,24,EA,WHSE,6.21,149.04,D,
6515-01-690-3760,"VACUUM CLEANER, PLASTER",1,EA,WHSE,7545.73,7545.73,B,
6515-01-693-1239,PROPAQ MD,1,EA,WHSE,30968.93,30968.93,A,
6515-20-A0H-9391,"VENTILATOR, PORTABLE, CRITICAL CARE WITH INTEGRAL SPO2 AND HEART RATE MONITOR",1,EA,WHSE,15529.08,15529.08,A,
6515-20-A0V-9736,MICROBORE EXTENSION SET,50,EA,WHSE,2.04,102,C,
6515-20-A0V-9737,"CATHETER EXTENSION SET, 8IN",25,EA,WHSE,2.39,59.75,C,
6515-20-A0Y-6206,"MONITOR,PATIENT VITAL SIGNS",2,EA,WHSE,5200,10400,A,
6515-21-886-4424,RESUSCITATOR (FLYNN),2,EA,WHSE,1491.2,2982.4,B,
6515-99-154-1005,COMFORT SPACE COVER,1,EA,WHSE,455,455,C,
6515-CF-001-7498,STRAPS ELASTIC ANKL/THIG,2,PR,WHSE,37.27,74.54,C,
6515-CF-001-7547,TRANSDUCER 'DURASENSOR',1,EA,WHSE,191.25,191.25,D,
6515-CF-001-9052,INDICATOR BIOLOGICAL,100,EA,WHSE,3.06,306,C,
6515-CF-001-9569,INDICATOR BIOLOGICAL,1,BX,WHSE,263.63,263.63,C,
6515-CF-001-9923,PAPER PRINTER STERILIZER,4,PG,WHSE,5.16,20.64,C,
6515-CF-002-0026,"ELECTRODES DEFIBRILLATOR AED (SET OF 2) ""STAT PADZ 11"" U/W DEFIBRILLATOR AED 6515-01-540-3238",8,SE,WHSE,94.32,754.56,C,
6515-CF-002-0090,READER BIOLOGICAL,1,EA,WHSE,1947,1947,B,
6515-CF-002-0119,ELECTRODE ECG 200 SERIES,4,PG,WHSE,5.42,21.68,C,
6515-CF-002-0282,FILTER AEROSOL FOR LSU,5,EA,WHSE,34.91,174.55,C,
