Item NSN,Description,Quantity,Unit of Measure,Source,Unit Price,Extended Price,Accountability Code,Is Sub-Kit
6505-00-963-5355,DEXAM INJ 4MG/ML-5ML MUL,2,BT,WHSE,8.21,16.42,D,
6505-01-063-9993,LUBRICANT SURGICAL 3.5G,5,EA,WHSE,0.17,0.85,C,
6505-01-074-7588,CEFOXITIN PWDR INJ 1GM,2,BT,WHSE,10.6,21.2,D,
6505-20-002-1827,DIPHENH INJ 50MG/ML-1ML,1,EA,WHSE,4.04,4.04,C,
6505-20-011-3051,NALOXONE HCL .4MG/ML,1,VI,WHSE,138.45,138.45,D,
6505-20-011-3951,FEXOFENADINE HCL 60 MG,1,PG,WHSE,11,11,C,
6505-20-012-2554,"KETAMINE HYDROCHLORIDE 50MG/ML, 10ML VIAL",1,VI,WHSE,55.1,55.1,C,
6505-20-012-6991,SALBUTAMOL SULFATE 1MG/ML 2.5ML NEBULE INHALATION SOLUTION,1,PG,WHSE,7.23,7.23,C,
6505-21-114-6713,DIMENHYD TB 50MG,100,EA,WHSE,0.14,14,C,
6505-21-114-6714,"DIPHENHYDRAMINE HCL, 50MG, CAPSULES OR TABLETS",100,EA,WHSE,0.13,13,C,
6505-21-114-6722,EPINEPHRINE 1 MG/ML INJ,2,AM,WHSE,1.67,3.34,C,
6505-21-114-6764,LIDOCAINE 2% W/EPI 20ML,2,BT,WHSE,10.15,20.3,D,
6505-21-116-0364,LIDOCAINE 1% W/EPI (1:1),2,BT,WHSE,13,26,C,
6505-21-843-5826,BACITRACIN ZINC OINT,2,TU,WHSE,4.95,9.9,C,
6505-21-844-6131,MORPH SULF 10MG/ML-1ML,6,EA,WHSE,2.31,13.86,D,
6505-21-855-2221,"SODIUM CHLORIDE 0.9%, FOR INJECTION, 500ML, IV BAG",1,BG,WHSE,2.67,2.67,C,
6505-21-855-3742,"LACTATED RINGER'S, FOR INJECTION, 1000ML, IV BAG",2,BG,WHSE,4,8,C,
6505-21-872-2053,SALBUTAMOL INHLR 100MCG,1,CN,WHSE,5,5,D,
6505-21-879-9785,DIMENHYDRIN 50MG/ML -5ML,1,EA,WHSE,6.94,6.94,C,
6505-21-880-9649,PSEUDOEPHEDRINE HCL TABS 60MG PREPACK,2,PG,WHSE,1.82,3.64,C,
6505-21-883-2862,IBUPROFEN TABLETS/CAPLETS 400MG,100,EA,WHSE,0.08,8,C,
6505-21-894-2130,HALOPERIDOL 5MG/ML (1ML),2,EA,WHSE,4.06,8.12,D,
6505-21-895-1613,WATER 10ML FOR INJECTION,2,EA,WHSE,0.65,1.3,C,
