Item NSN,Description,Quantity,Unit of Measure,Source,Unit Price,Extended Price,Accountability Code,Is Sub-Kit
4240-20-011-8588,"BLANKET,SURVIVAL. FOIL/MYLAR W142CM x L203CM",2,EA,WHSE,1.39,2.78,C,
5340-01-682-0499,"CAP-PLUG,PROTECTIVE,DUST AND MOISTURE SEAL",2,EA,WHSE,0.12,0.24,C,
6230-00-125-5528,FLASHLIGHT DISP 11CM LG,1,EA,WHSE,3.02,3.02,C,
6230-20-000-9253,LIGHT HEADBAND GEN PURP,1,EA,ExternalRqn,24,24,C,
6505-20-012-4826,"LUBRICATING GEL, SURGICAL",1,TU,WHSE,1.85,1.85,C,
6510-00-786-3736,PAD ISOPROPYL ALCOHOL,0.5,BX,WHSE,2.07,1.03,C,
6510-01-344-1119,TAPE WHITE 2.5CM X 9.0M,2,RO,WHSE,1.06,2.12,C,
6510-01-503-2117,"GAUZE COMPRESSED 4.5""(11.4CM)",4,EA,WHSE,5.69,22.76,C,
6510-01-558-3342,DRSSNG MODULAR 4IN NLTX,2,EA,WHSE,11.76,23.52,C,
6510-01-558-3443,DRSSNG MODULAR 6IN(15CM) NLTX,2,EA,WHSE,13.44,26.88,C,
6510-01-562-3325,GAUZE HEMOSTATIC 7.5CM,1,EA,WHSE,56.33,56.33,C,
6510-01-621-1129,"DRESSING, CHEST WOUND SEAL, NON-VALVED",1,PG,WHSE,36.59,36.59,C,
6510-21-116-0179,BANDAGE TRIANGLE KHAKI,4,PG,WHSE,1.95,7.8,C,
6510-21-116-0202,PAD NONADHERENT 7.5X10CM,5,EA,WHSE,0.11,0.55,C,
6510-21-845-2189,PAD COTTON (EYE) OVAL,4,EA,WHSE,0.16,0.64,C,
6510-21-845-2238,BANDAID 25'S,1,PG,WHSE,1.07,1.07,C,
6510-21-849-8650,BANDAGE KNUCKLE 3X7CM(L),0.16,BX,WHSE,17.05,2.73,C,
6510-21-851-4200,BANDAGE COMPRESS 4 X 4IN,3,EA,WHSE,0.34,1.02,C,
6510-21-860-8464,SKIN CLOSURE 6 X 75MM,0.1,BX,WHSE,44.55,4.46,C,
6510-21-890-0883,SPONGE 4-P STER 10X10CM,10,PG,WHSE,0.1,1,C,
6510-21-893-3537,BANDAGE (FILM) 10 X 12CM,0.08,BX,WHSE,50.99,4.08,C,
6510-21-907-7261,SPONGE ( 8-P)5 X 5CM,10,PG,WHSE,0.04,0.4,C,
6510-CF-001-9358,BANDAGE ELASTIC 4IN X 5YD (10CM X 4.5M),1,RO,WHSE,5.2,5.2,C,
6510-CF-002-0196,BANDAGE ELASTOPLAST 6-8 X 10CM STRIP,1,BX,WHSE,4.42,4.42,C,
6510-CF-002-0901,BANDAGE BLISTER PROTECT,10,EA,WHSE,1.99,19.9,C,
6510-CF-002-7935,BANDAGE TENSOR LF 10CM,2,EA,WHSE,0.8,1.6,C,
6515-00-337-2400,"FORCEPS SPLINTER 4""(10CM)LG",1,EA,WHSE,1.1,1.1,D,
6515-01-008-3338,PEN SKIN MARKING,1,EA,WHSE,0.89,0.89,C,
6515-01-225-4681,"SPLINT, UNIVERSAL.LIGHTWEIGHT; RADIOLUCENT; GRAY; 4-1/2 BY 36 INCH (10.8 BY 92.2 CM);FOR IMMOBILIZATION OF INJURED EXTREMITIES",1,EA,WHSE,11.13,11.13,C,
