Item NSN,Description,Quantity,Unit of Measure,Source,Unit Price,Extended Price,Accountability Code,Is Sub-Kit
6545-20-A0U-8754,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP",1,KT,WHSE,15264.6,15264.6,D,Y
6545-20-A0U-8755,"TREATMENT KIT, BANDAGES/DRESSINGS AND TRAYS, MAJOR NAVAL WARSHIP, MEDICAL TREATMENT FACILITY",1,KT,WHSE,7818.37,7818.37,C,Y
6545-20-A0U-8757,"TREATMENT KIT, BLOOD COLLECTION",1,KT,WHSE,213.73,213.73,D,Y
6545-20-A0U-8758,"TREATMENT KIT, LAB POC AND TESTING KITS",1,KT,WHSE,1534.73,1534.73,D,Y
6545-20-A0U-8759,"TREATMENT KIT, WATER TESTING",1,KT,WHSE,4645.8,4645.8,D,Y
6545-20-A0U-8760,"TREATMENT KIT, PHARMACY",1,KT,WHSE,168.02,168.02,D,Y
6545-20-A0U-8761,"TREATMENT KIT, IV/IO AND FLUIDS, MAJOR NAVAL WARSHIP",1,KT,WHSE,7808.24,7808.24,D,Y
6545-20-A0U-8762,"TREATMENT KIT, INSTRUMENTS, MAJOR NAVAL WARSHIP",1,KT,WHSE,5592.14,5592.14,D,Y
6545-20-A0U-8763,"TREATMENT KIT, SUTURES AND TAPES",1,KT,WHSE,2253.04,2253.04,D,Y
6545-20-A0U-8764,"TREATMENT KIT, HYGIENE AND PPE",1,KT,WHSE,2692.73,2692.73,D,Y
6545-20-A0U-8765,"TREATMENT KIT, ENT, UROLOGY, OPHTHALMO, CHEST, GI AND GENERAL",1,KT,WHSE,9111.49,9111.49,D,Y
6545-20-A0U-8766,"TREATMENT KIT, MSK AND BRACES/SPLINTS",1,KT,WHSE,4926.15,4926.15,D,Y
6545-20-A0U-8767,"TREATMENT KIT, DIAGNOSTIC AND SCOPES, MAJOR NAVAL WARSHIP",1,KT,WHSE,9777.72,9777.72,D,Y
6545-20-A0U-8770,"TREATMENT KIT, GENERAL SUPPLY (DSC)",1,KT,WHSE,473.47,473.47,D,Y
6545-20-A0U-9002,"TREATMENT KIT, MAJOR MEDICAL EQUIPMENT AND RELATED CONSUMABLES, MAJOR NAVAL WARSHIP, MEDICAL TREATMENT FACILITY.",1,KT,WHSE,29858.22,29858.22,D,Y
