Item NSN,Description,Quantity,Unit of Measure,Source,Unit Price,Extended Price,Accountability Code,Is Sub-Kit
5110-21-116-4211,KNIFE PLASTER CAST CUT,1,EA,ExternalRqn,57.05,57.05,C,
6510-01-448-8519,TAPE CAST FIBERGLAS 4 IN,5,RO,WHSE,10.29,51.45,C,
6510-CF-002-7963,PAD UNDERCAST 4IN (10CM),24,EA,WHSE,1.29,30.96,C,
6515-00-366-8200,SHEARS CAST CUT (2-HAND),1,EA,WHSE,25.76,25.76,D,
6515-00-777-7340,CUSHION CRUTCH,3,PR,WHSE,2.3,6.9,C,
6515-01-217-1236,SPLINT UNIVERSAL. FOLDED,11,EA,WHSE,10.08,110.88,C,
6515-01-446-9318,SAGER SPLINT,2,EA,WHSE,628.19,1256.38,D,
6515-01-521-5730,SPLINT LEG TRACTION 4:1,2,EA,WHSE,205.58,411.16,D,
6515-01-678-9635,"BRACE, ANKLE, STIRRUP AND STABILIZING STRAPS, MEDIUM",3,EA,WHSE,27.57,82.71,C,
6515-01-678-9640,"BRACE, ANKLE, STIRRUP AND STABILIZING STRAPS, LARGE",3,EA,WHSE,28.34,85.02,C,
6515-01-679-0354,"BRACE, ANKLE, STIRRUP AND STABILIZING STRAPS, SMALL",3,EA,WHSE,28.5,85.5,C,
6515-01-679-0436,BRACE WRIST SUEDE SM/R,2,EA,WHSE,14.59,29.18,C,
6515-01-679-0439,BRACE WRIST SUEDE MED/R,2,EA,WHSE,14.59,29.18,C,
6515-01-679-0442,BRACE WRIST SUEDE LRG/R,2,EA,WHSE,14.59,29.18,C,
6515-01-679-1044,BRACE WRIST SUEDE SM/L,2,EA,WHSE,14.59,29.18,C,
6515-01-679-1048,BRACE WRIST SUEDE MED/L,2,EA,WHSE,14.59,29.18,C,
6515-01-679-1051,BRACE WRIST SUEDE LRG/L,2,EA,WHSE,14.59,29.18,C,
6515-01-686-2467,"BRACE, KNEE, HINGED, WRAP, BREATHABLE, S, 39CM TO 47CM",2,EA,WHSE,47.89,95.78,C,
6515-21-116-2907,SPLINT (ALU)HAND-ADULT,4,EA,WHSE,9.37,37.48,C,
6515-21-859-4656,"SPLINT FNGR ALU 1 X 18""(2.5CM-45.7CM)",12,EA,WHSE,4.04,48.48,C,
6515-21-859-4657,"SPLINT FNGR ALU 3/4X18""(1.9CM X 45.7CM)",12,EA,WHSE,2.97,35.64,C,
6515-21-893-9764,SUPP KNEE X-ACTION (MED),12,EA,WHSE,16.38,196.56,C,
6515-21-893-9765,SUPP KNEE X-ACTION (LG ),12,EA,WHSE,16.38,196.56,C,
6515-21-893-9766,SUPP KNEE X-ACTION (XL ),12,EA,WHSE,16.38,196.56,C,
6515-21-893-9768,"SUPP ANKL SPIR( M) 9.0""",12,EA,WHSE,11.37,136.44,C,
6515-21-893-9769,"SUPP ANKL SPIR( L)10.0""",12,EA,WHSE,11.6,139.2,C,
6515-21-896-0874,HANDGRIP CRUTCH (CLOSED),3,PR,WHSE,1.19,3.57,C,
6515-33-218-1647,"SUPPORT ELBOW, UNIVERSAL",12,EA,WHSE,28.13,337.56,C,
6515-CF-001-7300,"CRUTCH AXILLARY (ALU) ADULT-REGULAR 5'2"" TO 5'10"" PUSH-BUTTON ADJUSTABLE COMPL W/TIPS UNDERARM PADS AND GRIPS",3,PR,WHSE,38.59,115.77,D,
6515-CF-001-9387,WRIST & THUMB SUPP S-L,2,EA,WHSE,27.68,55.36,C,
6515-CF-001-9388,WRIST & THUMB SUPP M-L,2,EA,WHSE,27.68,55.36,C,
6515-CF-001-9389,WRIST & THUMB SUPP L-L,2,EA,WHSE,27.68,55.36,C,
6515-CF-002-8768,"BRACE, KNEE, HINGED, WRAP, BREATHABLE, M, 47CM TO 53CM",2,EA,WHSE,49.23,98.46,C,
6515-CF-002-8769,"BRACE, KNEE, HINGED, WRAP, BREATHABLE, L, 53CM TO 60CM",2,EA,WHSE,44.35,88.7,C,
6515-CF-002-8770,"BRACE, KNEE, HINGED, WRAP, BREATHABLE, XL, 60CM TO 67CM",2,EA,WHSE,48.19,96.38,C,
6530-21-880-6717,PAD COLD TMT,40,EA,WHSE,0.94,37.6,C,
6530-21-880-6718,PAD HEAT TMT,20,EA,WHSE,1.53,30.6,C,
6530-CF-001-7420,SPLINT TRACTION FEMORAL,1,EA,WHSE,140,140,D,
6530-CF-001-8723,RESTRAINT WRIST LEATHER,1,PR,WHSE,209.99,209.99,C,
6530-CF-001-8724,RESTRAINT ANKLE LEATHER,1,PR,WHSE,214.77,214.77,C,
