Item NSN,Description,Quantity,Unit of Measure,Source,Unit Price,Extended Price,Accountability Code,Is Sub-Kit
6510-20-002-1149,"TAPE ADHES SOFT BACK 12""(30CM)",1,RO,WHSE,64.78,64.78,C,
6510-21-846-1218,TAPE ADH WHITE 2.5CMX9M,48,SL,WHSE,1.53,73.44,C,
6510-21-847-0244,REMOVER ADH TAPE 500ML,2,BT,WHSE,11.37,22.74,C,
6510-21-860-8463,SKIN CLOSURE 3 X 75MM,1,BX,WHSE,43.27,43.27,C,
6510-21-860-8464,SKIN CLOSURE 6 X 75MM,1,BX,WHSE,44.55,44.55,C,
6510-21-860-8466,SKIN CLOSURE 12 X 100MM,1,BX,WHSE,68.73,68.73,C,
6515-00-044-8799,"SUTURE, NYLON, MONOFILAMENT, NON-ABSORBABLE, SIZE 4-0, 19MM REVERSE CUTTING EDGE 3/8 CIRCLE NEEDLE, THREAD LENGTH 18IN",12,EA,WHSE,2.74,32.88,C,
6515-01-054-4267,"SUTURE, POLYPROPYLENE, MONOFILAMENT, NON-ABSORBABLE, SIZE 2-0, 26MM REVERSE CUTTING EDGE 3/8 CIRCLE NEEDLE, THREAD LENGTH 18IN",12,EA,WHSE,5.2,62.4,C,
6515-01-222-8480,"SUTURE, PLAIN GUT, MONOFILAMENT, ABSORBABLE, SIZE 6-0, 11MM REVERSE CUTTING EDGE 3/8 CIRCLE NEEDLES, THREAD LENGTH 18IN, DOUBLE ARMED",1,BX,WHSE,304.49,304.49,C,
6515-01-448-2946,"SUTURE, POLYPROPYLENE, MONOFILAMENT, NON-ABSORBABLE, SIZE 4-0, 13MM PRIME REVERSE CUTTING EDGE 3/8 CIRCLE NEEDLE, THREAD LENGTH 18IN",3,BX,WHSE,284.59,853.77,C,
6515-01-611-9498,"SUTURE, POLYPROPYLENE, MONOFILAMENT, NON-ABSORBABLE, SIZE 6-0, 11MM PRIME REVERSE CUTTING EDGE 3/8 CIRCLE NEEDLE, THREAD LENGTH 18IN",12,EA,WHSE,11.32,135.84,C,
6515-01-612-6715,"SUTURE, POLYGLACT 910, UNDYED BRAIDED, ABSORBABLE, SIZE 5-0, 13MM PRIME REVERSE CUTTING EDGE 3/8 CIRCLE NEEDLE, THREAD LENGTH 18IN",12,EA,WHSE,17.39,208.68,C,
6515-21-116-0303,"SUTURE, NYLON, MONOFILAMENT, NON-ABSORBABLE, SIZE 4-0, 19MM CONVENTIONAL CUTTING 3/8 CIRLCE NEEDLE, THREAD LENGTH 18IN",1,BX,WHSE,94.38,94.38,C,
6515-CF-000-7810,EXTRACTOR SKIN STAPLE,1,BX,WHSE,98.41,98.41,C,
6515-CF-001-3749,STAPLER DISPOSABLE 35MM,1,BX,WHSE,109.09,109.09,C,
6515-CF-001-8241,"SUTURE, NYLON, MONOFILAMENT, NON-ABSORBABLE, SIZE 3-0, 19MM PRIME REVERSE CUTTING EDGE 3/8 CIRCLE NEEDLE, THREAD LENGTH 18IN",1,BX,WHSE,340.91,340.91,C,
6515-CF-002-8161,"KIT, SUTURE REMOVAL WITH LITTAUER SCISSORS, FINE-TIPPED FORCEP AND A 2IN(5CM) X 2IN(5CM)GAUZE.",12,KT,WHSE,1.93,23.16,C,
6515-CF-002-8809,"SUTURE, TRICLOSAN & POLYGLACT 910, UNDYED BRAIDED, ABSORBABLE, SIZE 0, 40MM REVERSE CUTTING EDGE, THREAD LENGTH 27IN, ANTIBACTERIAL",1,BX,WHSE,192.09,192.09,C,
