NSN,Description,Unit of Measure,Total Quantity,Kit Count,Unit Price,Accountability Code,Source,Is Kit,Kit Membership
4110-20-A0W-3694,"COLEMAN EXCURSION COOLER, 8.5L",EA,1,1,38,C,ExternalRqn,,"TREATMENT KIT, WATER TESTING (6545-20-A0U-8759) x1"
4240-20-011-8588,"BLANKET,SURVIVAL. FOIL/MYLAR W142CM x L203CM",EA,12,2,1.39,C,WHSE,,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA (6545-CF-005-0438) x10; KIT, TREATMENT, MED TECH, BAG (6545-CF-002-1002) x2"
5110-21-116-4211,KNIFE PLASTER CAST CUT,EA,1,1,57.05,C,ExternalRqn,,"TREATMENT KIT, MSK AND BRACES/SPLINTS (6545-20-A0U-8766) x1"
5120-21-116-4929,WRENCH BOX GAS CYLINDER,EA,10,1,3.43,C,WHSE,,"TREATMENT KIT, MAJOR MEDICAL EQUIPMENT AND RELATED CONSUMABLES, MAJOR NAVAL WARSHIP, MEDICAL TREATMENT FACILITY. (6545-20-A0U-9002) x10"
5120-21-863-0096,"PLIERS, JEWELLERS, 5IN",EA,1,1,5,C,ExternalRqn,,"TREATMENT KIT, GENERAL SUPPLY (DSC) (6545-20-A0U-8770) x1"
5210-21-907-6461,"TAPE MEASURING 1.5M(60"")",EA,9,1,2.67,C,WHSE,,"TREATMENT KIT, GENERAL SUPPLY (DSC) (6545-20-A0U-8770) x9"
5340-01-518-5148,PATIENT RESTRAINT 7F 2PC,EA,2,1,37.38,C,WHSE,,"TREATMENT KIT, MAJOR MEDICAL EQUIPMENT AND RELATED CONSUMABLES, MAJOR NAVAL WARSHIP, MEDICAL TREATMENT FACILITY. (6545-20-A0U-9002) x2"
5340-01-682-0499,"CAP-PLUG,PROTECTIVE,DUST AND MOISTURE SEAL",EA,12,3,0.12,C,WHSE,,"KIT, TMT CRASH CART, MAJOR WARSHIP, MEDICAL TREATMENT FACILITY (6545-20-A0U-7793) x5; KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA (6545-CF-005-0438) x5; KIT, TREATMENT, MED TECH, BAG (6545-CF-002-1002) x2"
5340-21-868-8442,"SEAL, ANTIPILFERAGE, LEAD WIRE",EA,8,2,0.1,C,ExternalRqn,,TRANSIT UNIT MEDICAL SPECIMEN FATAL ACCIDENT (6545-21-912-4986) x4; TRANSIT UNIT MEDICAL SPECIMEN NON-FATAL ACCIDENT (6545-21-912-4985) x4
6130-01-679-5815,"BATTERY PACK, PUMP, INTRAVENOUS INFUSION WITHOUT WIFI",EA,1,1,143.29,D,WHSE,,"TREATMENT KIT, MAJOR MEDICAL EQUIPMENT AND RELATED CONSUMABLES, MAJOR NAVAL WARSHIP, MEDICAL TREATMENT FACILITY. (6545-20-A0U-9002) x1"
6130-CF-002-9300,"POWER SUPPLY FOR BASE UNIT KIT, ANALYZER, BLOOD GLUCOSE 6630-CF-002-9302",EA,1,1,41.83,D,WHSE,,"TREATMENT KIT, LAB POC AND TESTING KITS (6545-20-A0U-8758) x1"
6135-00-826-4798,"BATTERY, ALKALINE, AAA",EA,10,1,0.37,C,ExternalRqn,,"TREATMENT KIT, MAJOR MEDICAL EQUIPMENT AND RELATED CONSUMABLES, MAJOR NAVAL WARSHIP, MEDICAL TREATMENT FACILITY. (6545-20-A0U-9002) x10"
6135-21-892-7266,"BATTERY, C CELL",EA,18,3,1.44,C,ExternalRqn,,"KIT, TMT CRASH CART, MAJOR WARSHIP, MEDICAL TREATMENT FACILITY (6545-20-A0U-7793) x4; TREATMENT KIT, GENERAL SUPPLY (DSC) (6545-20-A0U-8770) x10; KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA (6545-CF-005-0438) x4"
