Master Inventory Row #,Previous NSN/Identifier,New NSN/Identifier,Action Taken,Source Sheet + Row Reference,Notes / Reason
927,7530-21-920-4737,7530-21-920-4737,REAL NSN,"Non Fatal, Row 15",Valid NSN confirmed in source. UOM blank in source - left as-is per source data.
920,7510-21-561-5126,7510-21-561-5126,REAL NSN,"Maritime MASCAL, Row 133",Valid NSN confirmed in source. UOM blank in source - left as-is per source data.
950,CARD2,LOCAL-0001,LOCAL PLACEHOLDER,"FA General, Row 14",Non-standard identifier for kit card. No real NSN exists in source.
948,BOOKLET4,LOCAL-0002,LOCAL PLACEHOLDER,"Non Fatal, Row 19",Non-standard identifier for kit definition booklet. No real NSN in source.
951,LABEL1,LOCAL-0003,LOCAL PLACEHOLDER,"Non Fatal, Row 20",Non-standard identifier for exempt specimen label. No real NSN in source.
952,LABEL2,LOCAL-0004,LOCAL PLACEHOLDER,"Non Fatal, Row 21",Non-standard identifier for UN 3373 label. No real NSN in source.
956,PAMPHLET1,LOCAL-0005,LOCAL PLACEHOLDER,"Non Fatal, Row 22",Non-standard identifier for AMA Directive pamphlet. No real NSN in source.
960,PAMPHLET2,LOCAL-0006,LOCAL PLACEHOLDER,"Non Fatal, Row 23",Non-standard identifier for post-crash memo. No real NSN in source.
961,PAMPHLET3,LOCAL-0007,LOCAL PLACEHOLDER,"Non Fatal, Row 24",Non-standard identifier for chain of custody form. No real NSN in source.
962,PAMPHLET4,LOCAL-0008,LOCAL PLACEHOLDER,"Non Fatal, Row 25",Non-standard identifier for CF toxicology procedures. No real NSN in source.
963,PAMPHLET5,LOCAL-0009,LOCAL PLACEHOLDER,"Non Fatal, Row 26",Non-standard identifier for PHAC marking pamphlet. No real NSN in source.
949,BOOOKLET5,LOCAL-0010,LOCAL PLACEHOLDER,"Fatal, Row 22",Non-standard identifier for fatal kit definition booklet. No real NSN in source.
953,LABEL5,LOCAL-0011,LOCAL PLACEHOLDER,"Fatal, Row 23",Non-standard identifier for exempt specimen label (fatal). No real NSN in source.
954,LABEL6,LOCAL-0012,LOCAL PLACEHOLDER,"Fatal, Row 24",Non-standard identifier for UN 3373 label (fatal). No real NSN in source.
957,PAMPHLET10,LOCAL-0013,LOCAL PLACEHOLDER,"Fatal, Row 25",Non-standard identifier for chain of custody form (fatal). No real NSN in source.
964,PAMPHLET6,LOCAL-0014,LOCAL PLACEHOLDER,"Fatal, Row 26",Non-standard identifier for AMA Directive (fatal). No real NSN in source.
965,PAMPHLET7,LOCAL-0015,LOCAL PLACEHOLDER,"Fatal, Row 27",Non-standard identifier for CF toxicology procedures (fatal). No real NSN in source.
966,PAMPHLET8,LOCAL-0016,LOCAL PLACEHOLDER,"Fatal, Row 28",Non-standard identifier for post-incident procedures. No real NSN in source.
967,PAMPHLET9,LOCAL-0017,LOCAL PLACEHOLDER,"Fatal, Row 29",Non-standard identifier for PHAC marking (fatal). No real NSN in source.
959,PAMPHLET14,LOCAL-0018,LOCAL PLACEHOLDER,"HIV, Row 5",Non-standard identifier for blood borne pathogens pamphlet. No real NSN in source.
